"","Name","Platform","Year_of_Release","Genre","Publisher","EU_Sales","Global_Sales","Critic_Score","Critic_Count","User_Score","User_Count","Rating","Name_imp","Platform_imp","Year_of_Release_imp","Genre_imp","Publisher_imp","EU_Sales_imp","Global_Sales_imp","Critic_Score_imp","Critic_Count_imp","User_Score_imp","User_Count_imp","Rating_imp"
"13134","Air Traffic Chaos","DS",2007,"Simulation","Ertain",0,0.05,66,8,6.55,6,"E",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"13135","Imagine Animal Doctor Care Center","DS",2010,"Simulation","Ubisoft",0,0.05,62,13,5.65,9,"E",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"13136","Batman: Gotham City Racer","PS",2001,"Racing","Ubisoft",0.02,0.05,69,13,7.65,5,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"13137","Sengoku Basara X","PS2",2008,"Fighting","Capcom",0,0.05,51,8,5.95,6,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"13138","Imagine: Party Planner","DS",2009,"Simulation","Ubisoft",0,0.05,49,10,6.55,10,"E",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"13139","Doraemon: Nobita no Kyouryuu 2006 DS","DS",2006,"Role-Playing","Sega",0,0.05,64,10,7.4,9,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"13140","Ontamarama","DS",2007,"Action","Atlus",0,0.05,71,9,7.4,10,"E",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"13141","DokiDoki Majo Shinpan!","DS",2007,"Adventure","SNK Playmore",0,0.05,61,6,5.95,9,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"13142","Starry ? Sky: In Spring","PSP",2010,"Misc","Asgard",0,0.05,62,13,5.65,9,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"13143","FIFA Soccer 2004","GBA",2003,"Sports","Electronic Arts",0.01,0.05,82,4,7.9,9,"E",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"13144","The Bureau: XCOM Declassified","PC",2013,"Shooter","Take-Two Interactive",0.05,0.05,66,45,6.5,624,"M",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"13145","Armored Core: Formula Front Extreme Battle","PSP",2004,"Simulation","505 Games",0,0.05,63,17,6.75,9,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"13146","Pawly Pets: My Vet Practice","DS",2007,"Strategy","Ubisoft",0.05,0.05,62,9,6.7,12,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"13147","Steins;Gate 0","PS4",2015,"Adventure","PQube",0,0.05,81,19,8.3,35,"M",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"13148","Downforce","PS2",2002,"Racing","Avalon Interactive",0.02,0.05,69,18,7.2,5,"E",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"13149","Little Busters! Converted Edition","PS2",2009,"Adventure","Prototype",0,0.05,49,10,6.55,10,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"13150","Pet Pals: New Leash on Life","DS",2010,"Simulation","Destineer",0,0.05,62,13,5.65,9,"E",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"13151","Metal Slug Anthology","PSP",2007,"Shooter","Ignition Entertainment",0,0.05,78,26,7.5,26,"T",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"13152","Hysteria Hospital: Emergency Ward","Wii",2009,"Action","Oxygen Interactive",0,0.05,53,10,6.1,5,"E",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"13153","Disney's Party","GC",2002,"Misc","Electronic Arts",0.01,0.05,39,6,7.8,5,"E",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"13154","Nanostray 2","DS",2008,"Shooter","Codemasters",0.01,0.05,75,23,7.8,8,"E",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"13155","Tennis no Oji-Sama: 2005 Crystal Drive","DS",2004,"Sports","Konami Digital Entertainment",0,0.05,63,17,6.75,9,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"13156","Summon Night X: Tears Crown","DS",2009,"Role-Playing","Namco Bandai Games",0,0.05,49,10,6.55,10,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"13157","Dokapon Journey","DS",2008,"Role-Playing","Sting",0,0.05,60,16,7,8,"E10+",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"13158","Back to the Future: The Game","Wii",2011,"Adventure","Telltale Games",0,0.05,67,6,7.05,17,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"13159","Taiho Shichauzo!","PS",2001,"Adventure","Pioneer LDC",0,0.05,64,11,7.35,13,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"13160","Phantom Crash","X",2002,"Simulation","Phantagram",0.01,0.05,74,23,8.3,14,"T",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"13161","Yanya Caballista: City Skater","PS2",2001,"Sports","Tecmo Koei",0.02,0.05,58,13,6.3,7,"E",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"13162","Expendable","PS",1999,"Action","Infogrames",0.02,0.05,59,12,6.1,7,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"13163","SeaWorld Adventure Parks: Shamus Deep Sea Adventure","DS",2005,"Adventure","Activision",0,0.05,66,13,6.9,9,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"13164","The Idolmaster: Gravure For You! Vol. 2","PS3",2011,"Misc","Namco Bandai Games",0,0.05,67,6,7.05,17,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"13165","Thunder Force V: Perfect System","PS",1998,"Shooter","TechnoSoft",0.02,0.05,59,12,6.1,6,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"13166","Arthur! Ready to Race","PS",2000,"Racing","The Learning Company",0.02,0.05,53,9,6.95,12,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"13167","The Typing of the Dead","DC",2000,"Shooter","Sega",0,0.05,83,12,7.8,12,"M",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"13168","Ride","PS3",2015,"Racing","Milestone S.r.l.",0.03,0.05,66,12,4.8,4,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
